Order ID;Product;Category;Unit Price;Quantity;Customer;Ship City;Ship Country;Order Date
10248;Queso Cabrales;Dairy Products;14;12;Vins et alcools Chevalier;Reims;France;4-Jul-96
10248;Singaporean Hokkien Fried Mee;Grains/Cereals;9,8;10;Vins et alcools Chevalier;Reims;France;4-Jul-96
10248;Mozzarella di Giovanni;Dairy Products;34,8;5;Vins et alcools Chevalier;Reims;France;4-Jul-96
10249;Manjimup Dried Apples;Produce;42,4;40;Toms Spezialitäten;Münster;Germany;5-Jul-96
10249;Tofu;Produce;18,6;9;Toms Spezialitäten;Münster;Germany;5-Jul-96
10250;Manjimup Dried Apples;Produce;42,4;35;Hanari Carnes;Rio de Janeiro;Brazil;8-Jul-96
10250;Jack's New England Clam Chowder;Seafood;7,7;10;Hanari Carnes;Rio de Janeiro;Brazil;8-Jul-96
10250;Louisiana Fiery Hot Pepper Sauce;Condiments;16,8;15;Hanari Carnes;Rio de Janeiro;Brazil;8-Jul-96
10251;Louisiana Fiery Hot Pepper Sauce;Condiments;16,8;20;Victuailles en stock;Lyon;France;8-Jul-96
10251;Ravioli Angelo;Grains/Cereals;15,6;15;Victuailles en stock;Lyon;France;8-Jul-96
10251;Gustaf's Knäckebröd;Grains/Cereals;16,8;6;Victuailles en stock;Lyon;France;8-Jul-96
10252;Geitost;Dairy Products;2;25;Suprêmes délices;Charleroi;Belgium;9-Jul-96
10252;Sir Rodney's Marmalade;Confections;64,8;40;Suprêmes délices;Charleroi;Belgium;9-Jul-96
10252;Camembert Pierrot;Dairy Products;27,2;40;Suprêmes délices;Charleroi;Belgium;9-Jul-96
10253;Gorgonzola Telino;Dairy Products;10;20;Hanari Carnes;Rio de Janeiro;Brazil;10-Jul-96
10253;Chartreuse verte;Beverages;14,4;42;Hanari Carnes;Rio de Janeiro;Brazil;10-Jul-96
10253;Maxilaku;Confections;16;40;Hanari Carnes;Rio de Janeiro;Brazil;10-Jul-96
10254;Guaraná Fantástica;Beverages;3,6;15;Chop-suey Chinese;Bern;Switzerland;11-Jul-96
10254;Pâté chinois;Meat/Poultry;19,2;21;Chop-suey Chinese;Bern;Switzerland;11-Jul-96
10254;Longlife Tofu;Produce;8;21;Chop-suey Chinese;Bern;Switzerland;11-Jul-96
10255;Raclette Courdavault;Dairy Products;44;30;Richter Supermarkt;Genève;Switzerland;12-Jul-96
10255;Pavlova;Confections;13,9;35;Richter Supermarkt;Genève;Switzerland;12-Jul-96
10255;Chang;Beverages;15,2;20;Richter Supermarkt;Genève;Switzerland;12-Jul-96
10255;Inlagd Sill;Seafood;15,2;25;Richter Supermarkt;Genève;Switzerland;12-Jul-96
10256;Perth Pasties;Meat/Poultry;26,2;15;Wellington Importadora;Resende;Brazil;15-Jul-96
10256;Original Frankfurter grüne Soße;Condiments;10,4;12;Wellington Importadora;Resende;Brazil;15-Jul-96
10257;Schoggi Schokolade;Confections;35,1;25;HILARION-Abastos;San Cristóbal;Venezuela;16-Jul-96
10257;Chartreuse verte;Beverages;14,4;6;HILARION-Abastos;San Cristóbal;Venezuela;16-Jul-96
10257;Original Frankfurter grüne Soße;Condiments;10,4;15;HILARION-Abastos;San Cristóbal;Venezuela;16-Jul-96
10258;Mascarpone Fabioli;Dairy Products;25,6;6;Ernst Handel;Graz;Austria;17-Jul-96
10258;Chang;Beverages;15,2;50;Ernst Handel;Graz;Austria;17-Jul-96
10258;Chef Anton's Gumbo Mix;Produce;17;65;Ernst Handel;Graz;Austria;17-Jul-96
10259;Sir Rodney's Scones;Confections;8;10;Centro comercial Moctezuma;México D.F.;Mexico;18-Jul-96
10259;Gravad lax;Seafood;20,8;1;Centro comercial Moctezuma;México D.F.;Mexico;18-Jul-96
10260;Jack's New England Clam Chowder;Seafood;7,7;16;Ottilies Käseladen;Köln;Germany;19-Jul-96
10260;Ravioli Angelo;Grains/Cereals;15,6;50;Ottilies Käseladen;Köln;Germany;19-Jul-96
10260;Tarte au sucre;Confections;39,4;15;Ottilies Käseladen;Köln;Germany;19-Jul-96
10260;Outback Lager;Beverages;12;21;Ottilies Käseladen;Köln;Germany;19-Jul-96
10261;Steeleye Stout;Beverages;14,4;20;Que Delícia;Rio de Janeiro;Brazil;19-Jul-96
10261;Sir Rodney's Scones;Confections;8;20;Que Delícia;Rio de Janeiro;Brazil;19-Jul-96
10262;Chef Anton's Gumbo Mix;Produce;17;12;Rattlesnake Canyon Grocery;Albuquerque;USA;22-Jul-96
10262;Uncle Bob's Organic Dried Pears;Produce;24;15;Rattlesnake Canyon Grocery;Albuquerque;USA;22-Jul-96
10262;Gnocchi di nonna Alice;Grains/Cereals;30,4;2;Rattlesnake Canyon Grocery;Albuquerque;USA;22-Jul-96
10263;Guaraná Fantástica;Beverages;3,6;28;Ernst Handel;Graz;Austria;23-Jul-96
10263;Pavlova;Confections;13,9;60;Ernst Handel;Graz;Austria;23-Jul-96
10263;Nord-Ost Matjeshering;Seafood;20,7;60;Ernst Handel;Graz;Austria;23-Jul-96
10263;Longlife Tofu;Produce;8;36;Ernst Handel;Graz;Austria;23-Jul-96
