Order ID	Product	Category	Unit Price	Quantity	Valor	Customer	Ship City	Ship Country	Order Date	Ano
10248	Queso Cabrales	Dairy Products	14	12	168	Vins et alcools Chevalier	Reims	France	04/jul/96	
10248	Singaporean Hokkien Fried Mee	Grains/Cereals	9,8	10	98	Vins et alcools Chevalier	Reims	France	04/jul/96	
10248	Mozzarella di Giovanni	Dairy Products	34,8	5	174	Vins et alcools Chevalier	Reims	France	04/jul/96	
10249	Manjimup Dried Apples	Produce	42,4	40	1696	Toms Spezialitäten	Münster	Germany	05/jul/96	
10249	Tofu	Produce	18,6	9	167,4	Toms Spezialitäten	Münster	Germany	05/jul/96	
10250	Manjimup Dried Apples	Produce	42,4	35	1484	Hanari Carnes	Rio de Janeiro	Brazil	08/jul/96	
10250	Jack's New England Clam Chowder	Seafood	7,7	10	77	Hanari Carnes	Rio de Janeiro	Brazil	08/jul/96	
10250	Louisiana Fiery Hot Pepper Sauce	Condiments	16,8	15	252	Hanari Carnes	Rio de Janeiro	Brazil	08/jul/96	
10251	Louisiana Fiery Hot Pepper Sauce	Condiments	16,8	20	336	Victuailles en stock	Lyon	France	08/jul/96	
10251	Ravioli Angelo	Grains/Cereals	15,6	15	234	Victuailles en stock	Lyon	France	08/jul/96	
10251	Gustaf's Knäckebröd	Grains/Cereals	16,8	6	100,8	Victuailles en stock	Lyon	France	08/jul/96	
10252	Geitost	Dairy Products	2	25	50	Suprêmes délices	Charleroi	Belgium	09/jul/96	
10252	Sir Rodney's Marmalade	Confections	64,8	40	2592	Suprêmes délices	Charleroi	Belgium	09/jul/96	
10252	Camembert Pierrot	Dairy Products	27,2	40	1088	Suprêmes délices	Charleroi	Belgium	09/jul/96	
10253	Gorgonzola Telino	Dairy Products	10	20	200	Hanari Carnes	Rio de Janeiro	Brazil	10/jul/96	
10253	Chartreuse verte	Beverages	14,4	42	604,8	Hanari Carnes	Rio de Janeiro	Brazil	10/jul/96	
10253	Maxilaku	Confections	16	40	640	Hanari Carnes	Rio de Janeiro	Brazil	10/jul/96	
10254	Guaraná Fantástica	Beverages	3,6	15	54	Chop-suey Chinese	Bern	Switzerland	11/jul/96	
10254	Pâté chinois	Meat/Poultry	19,2	21	403,2	Chop-suey Chinese	Bern	Switzerland	11/jul/96	
10254	Longlife Tofu	Produce	8	21	168	Chop-suey Chinese	Bern	Switzerland	11/jul/96	
10255	Raclette Courdavault	Dairy Products	44	30	1320	Richter Supermarkt	Genève	Switzerland	12/jul/96	
10255	Pavlova	Confections	13,9	35	486,5	Richter Supermarkt	Genève	Switzerland	12/jul/96	
10255	Chang	Beverages	15,2	20	304	Richter Supermarkt	Genève	Switzerland	12/jul/96	
10255	Inlagd Sill	Seafood	15,2	25	380	Richter Supermarkt	Genève	Switzerland	12/jul/96	
10256	Perth Pasties	Meat/Poultry	26,2	15	393	Wellington Importadora	Resende	Brazil	15/jul/96	
10256	Original Frankfurter grüne Soße	Condiments	10,4	12	124,8	Wellington Importadora	Resende	Brazil	15/jul/96	
10257	Schoggi Schokolade	Confections	35,1	25	877,5	HILARION-Abastos	San Cristóbal	Venezuela	16/jul/96	
10257	Chartreuse verte	Beverages	14,4	6	86,4	HILARION-Abastos	San Cristóbal	Venezuela	16/jul/96	
10257	Original Frankfurter grüne Soße	Condiments	10,4	15	156	HILARION-Abastos	San Cristóbal	Venezuela	16/jul/96	
10258	Mascarpone Fabioli	Dairy Products	25,6	6	153,6	Ernst Handel	Graz	Austria	17/jul/96	
10258	Chang	Beverages	15,2	50	760	Ernst Handel	Graz	Austria	17/jul/96	
10258	Chef Anton's Gumbo Mix	Produce	17	65	1105	Ernst Handel	Graz	Austria	17/jul/96	
10259	Sir Rodney's Scones	Confections	8	10	80	Centro comercial Moctezuma	México D.F.	Mexico	18/jul/96	
10259	Gravad lax	Seafood	20,8	1	20,8	Centro comercial Moctezuma	México D.F.	Mexico	18/jul/96	
10260	Jack's New England Clam Chowder	Seafood	7,7	16	123,2	Ottilies Käseladen	Köln	Germany	19/jul/96	
10260	Ravioli Angelo	Grains/Cereals	15,6	50	780	Ottilies Käseladen	Köln	Germany	19/jul/96	
10260	Tarte au sucre	Confections	39,4	15	591	Ottilies Käseladen	Köln	Germany	19/jul/96	
10260	Outback Lager	Beverages	12	21	252	Ottilies Käseladen	Köln	Germany	19/jul/96	
10261	Steeleye Stout	Beverages	14,4	20	288	Que Delícia	Rio de Janeiro	Brazil	19/jul/96	
10261	Sir Rodney's Scones	Confections	8	20	160	Que Delícia	Rio de Janeiro	Brazil	19/jul/96	
10262	Chef Anton's Gumbo Mix	Produce	17	12	204	Rattlesnake Canyon Grocery	Albuquerque	USA	22/jul/96	
10262	Uncle Bob's Organic Dried Pears	Produce	24	15	360	Rattlesnake Canyon Grocery	Albuquerque	USA	22/jul/96	
10262	Gnocchi di nonna Alice	Grains/Cereals	30,4	2	60,8	Rattlesnake Canyon Grocery	Albuquerque	USA	22/jul/96	
10263	Guaraná Fantástica	Beverages	3,6	28	100,8	Ernst Handel	Graz	Austria	23/jul/96	
10263	Pavlova	Confections	13,9	60	834	Ernst Handel	Graz	Austria	23/jul/96	
10263	Nord-Ost Matjeshering	Seafood	20,7	60	1242	Ernst Handel	Graz	Austria	23/jul/96	
10263	Longlife Tofu	Produce	8	36	288	Ernst Handel	Graz	Austria	23/jul/96	
10264	Jack's New England Clam Chowder	Seafood	7,7	25	192,5	Folk och fä HB	Bräcke	Sweden	24/jul/96	
10264	Chang	Beverages	15,2	35	532	Folk och fä HB	Bräcke	Sweden	24/jul/96	
10265	Alice Mutton	Meat/Poultry	31,2	30	936	Blondesddsl père et fils	Strasbourg	France	25/jul/96	
10265	Outback Lager	Beverages	12	20	240	Blondesddsl père et fils	Strasbourg	France	25/jul/96	
10266	Queso Manchego La Pastora	Dairy Products	30,4	12	364,8	Wartian Herkku	Oulu	Finland	26/jul/96	
10267	Boston Crab Meat	Seafood	14,7	50	735	Frankenversand	München	Germany	29/jul/96	
10267	Raclette Courdavault	Dairy Products	44	70	3080	Frankenversand	München	Germany	29/jul/96	
10267	Lakkalikööri	Beverages	14,4	15	216	Frankenversand	München	Germany	29/jul/96	
