Item Number;Category;Qtr;Date;Description of Transaction; Withdrawal ; Fee ; Deposit ; Balance 
1;A Beginning Balance;1;2009-01-01;Starting Account Balance;;; $2 743,28 ; $2 743,28 
927;Grocery;1;2009-01-01;Mr G's; $58,18 ;;; $2 685,10 
928;Mortgage;1;2009-01-01;Faceless Mortgage Corp; $780,00 ;;; $1 905,10 
929;Grocery;1;2009-01-02;Mr G's; $114,42 ;;; $1 790,68 
930;Electric;1;2009-01-03;ERG/Synergy; $37,09 ;;; $1 753,59 
931;Credit Card;1;2009-01-08;Largo Credit Corp; $150,00 ;;; $1 603,59 
932;Grocery;1;2009-01-09;Mr G's; $71,14 ;;; $1 532,45 
ATM;ATM;1;2009-01-10;Cash; $100,00 ;;; $1 432,45 
933;Telephone;1;2009-01-12;Busysignal Phone Co; $42,64 ;;; $1 389,81 
934;Cable;1;2009-01-15;Costly Cable Co; $28,64 ;;; $1 361,17 
ATM;ATM;1;2009-01-20;Cash; $30,00 ;;; $1 331,17 
935;Grocery;1;2009-01-26;Wings' R Us ; $115,35 ;;; $1 215,82 
936;Water;1;2009-01-26;City Utilities; $28,72 ;;; $1 187,10 
ATM;ATM;1;2009-01-26;Cash; $70,00 ; $3,00 ;; $1 114,10 
937;Electric;1;2009-01-28;ERG/Synergy; $39,63 ;;; $1 074,47 
ATM;ATM;1;2009-01-28;Cash; $100,00 ;;; $974,47 
938;Gas;1;2009-01-31;Nat's Gas Service; $112,59 ;;; $861,88 
939;Grocery;1;2009-01-31;Mr G's; $178,49 ;;; $683,39 
940;Mortgage;1;2009-02-01;Faceless Mortgage Corp; $780,00 ;;; $(96,61)
ATM;ATM;1;2009-02-01;Cash; $50,00 ;;; $(146,61)
;Paycheck;1;2009-02-01;Direct deposited;;; $1 723,19 ; $1 576,58 
941;Credit Card;1;2009-02-06;Largo Credit Corp; $150,00 ;;; $1 426,58 
ATM;ATM;1;2009-02-09;Cash; $40,00 ; $2,50 ;; $1 384,08 
